Location desc from google	location desc from data	lat	long
Alphington VIC, Australia 		-37.7810539	145.0306948
Barrington Drive, Ashwood VIC 3147, Australia 		-37.863468	145.0999374
Beech Street, Whittlesea VIC 3757, Australia 	Bruces Creek at Beech St, Whittlesea   	-37.511129	145.1205387
Bulleen Road & Bulleen Road Exit, Balwyn North VIC 3104, Australia 		-37.7797955	145.078492
Chandler Highway, Kew VIC 3101, Australia 		-37.7902939	145.0270741
Coldstream VIC, Australia 		-37.724602	145.379623
Coldstream VIC, Australia 		-37.724602	145.379623
Corduroy Road, Yarra Junction VIC 3797, Australia 		-37.7758851	145.6048173
Don Road, Launching Place VIC 3139, Australia 		-37.768258	145.5857101
East Warburton VIC 3799, Australia 		-37.741928	145.736069
Everard Drive, Warrandyte VIC 3113, Australia 	Andersons Creek at Everard Drive, Warrandyte   	-37.7420996	145.2049282
Flemington Road & Racecourse Road, Parkville VIC 3052, Australia 		-37.7893896	144.9423381
Glenferrie Road & Gardiner Road, Hawthorn VIC 3122, Australia 		-37.8355111	145.0330127
Golfers Drive, Malvern East VIC 3145, Australia 		-37.87672	145.0797968
Healesville - Koo Wee Rup Road, Badger Creek VIC 3777, Australia 	Coranderrk Creek at Healesville-Koo Wee Rup Rd, Badger Creek	-37.6922709	145.5191148
Healesville - Koo Wee Rup Road, Yellingbo VIC 3139, Australia 		-37.8343126	145.5167049
Healesville - Koo Wee Rup Road, Yellingbo VIC 3139, Australia 		-37.8343126	145.5167049
Healesville-Kinglake Road & Old Yarra Glen Road, Kinglake VIC 3763, Australia 		-37.5397657	145.3894499
Healesville-Kinglake Road, Healesville VIC 3777, Australia 		-37.6510391	145.4999089
Healesville-Yarra Glen Road, Tarrawarra VIC 3775, Australia 		-37.654386	145.4418698
Hull Road, Lilydale VIC 3140, Australia 		-37.775897	145.3535141
Hurstbridge VIC 3099, Australia 		-37.6389918	145.1932903
Jacana Reserve, Jacana VIC 3047, Australia 		-37.6832647	144.9040706
Jumping Creek Road, Wonga Park VIC 3115, Australia 	Jumping Creek at Jumping Creek Road, Wonga Park 	-37.735615	145.2605237
Kangaroo Ground-Warrandyte Road, Warrandyte VIC, Australia 		-37.7366885	145.2225068
Killara Road, Gruyere VIC 3770, Australia 		-37.7387411	145.4590299
Lower Homestead Road, Wonga Park VIC 3115, Australia 	Brushy Creek at Lower Homestead Road, Wonga Park 	-37.7297383	145.2884103
Macclesfield Road & Tschampions Road, Macclesfield VIC 3782, Australia 	Cockatoo Creek at Tschampions Road, Macclesfield   	-37.8851834	145.4770078
Macclesfield-Woori Yallock Road, Yellingbo VIC 3139, Australia 		-37.8366585	145.4883534
Main Road & Diamond Street, Eltham VIC 3095, Australia 		-37.7115113	145.1490019
Maroondah Highway, Healesville VIC, Australia 		-37.6475483	145.5335877
McKenzie King Drive & River Road, Millgrove VIC 3799, Australia 		-37.7525496	145.6576584
Melba Highway, Yering VIC 3770, Australia 		-37.6845826	145.3774028
Murray Road, Coburg VIC 3058, Australia 		-37.7354297	144.9776807
Parker Street, Templestowe VIC 3106, Australia 		-37.7576097	145.1263452
Princes Street, Melbourne VIC, Australia 		-37.7925626	144.9718676
South Morang VIC 3752, Australia 		-37.6513392	145.0891037
Summerhill Road, Craigieburn VIC 3064, Australia 		-37.5710091	144.9523826
Valley Farm Road, Healesville VIC 3777, Australia 		-37.6315762	145.5163193
Victoria, Australia 		-37.4713077	144.7851531
Victoria, Australia 		-37.4713077	144.7851531
Victoria, Australia 		-37.4713077	144.7851531
Victoria, Australia 		-37.4713077	144.7851531
Warburton Highway & Woori Yallock Road, Woori Yallock VIC 3139, Australia 		-37.7799931	145.5303527
Warburton Highway, Launching Place VIC 3139, Australia 		-37.7761216	145.578957
Warburton-Woods Point Road & McMahons Creek Road, McMahons Creek VIC 3799, Australia 		-37.7007133	145.8313999
Warrandyte VIC, Australia 		-37.738014	145.218887
Woods Point Road, McMahons Creek VIC 3799, Australia 		-37.72259	145.773292
Yarra Bend Park, Fairfield VIC 3078, Australia 		-37.7940597	145.0103998
