Code,Site Name,Visit Date,Visit Time,Electrical Conductivity (µS/cm),pH (pH Units),Temperature - AIR (° C),Temperature - WATER (° C),Turbidity - NTU (NTU),Days Since Last Rainfall,Water Type,Litter Pollutants,Region,Basin,Catchment,Sub Catchment,Longitude,Latitude,Northing,Easting
ME_YCH045,Chum Ck. at Rogers Rd xing. Chum Ck,04-Oct-02,0:00:00,,,,,,,Creek,,Melbourne,Yarra River,Yarra River,Watts River,145.489975249 N,-37.6050329636 E,5836934,366712
ME_YCH045,Chum Ck. at Rogers Rd xing. Chum Ck,27-Nov-01,11:00:00,100,6.6,,16,18,,Creek,,Melbourne,Yarra River,Yarra River,Watts River,145.489975249 N,-37.6050329636 E,5836934,366712
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",11-Jun-08,8:50:00,1820,8.2,19,17,10,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",25-May-10,8:09:00,640,8,12,13,24,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",11-Aug-09,9:45:00,800,8,10,10,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",13-Nov-09,8:30:00,1260,7.6,19,21,10,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",24-Jul-12,14:45:00 ,1820,8.7,15.4,11.2,10,,Creek,"bottles,cans,packets,paper,plastic",Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",24-Aug-10,9:29:00,1420,6.8,15,10.5,10,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",09-Jul-08,8:50:00,640,8.4,13,5,20,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",30-Sep-09,8:50:00,640,7.3,19,13,10,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",04-May-10,9:00:00,440,8.3,19.5,16,10,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",19-Jun-09,10:20:00,1660,8.3,13,8,10,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",18-May-09,8:45:00,,8.1,13,11,10,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",24-Apr-08,11:00:00,1760,8.5,20,17,10,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",20-Mar-08,7:55:00,1360,8.2,16,17,10,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",09-Jan-09,8:25:00,2000,8.1,15,18,10,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",23-May-08,8:10:00,1310,8.5,10,12,10,More than 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA401,"Darebin Creek, stream restoration site, Barling Reserve, d/s Plenty Road, Reservoir. sample taken approx 200 metres (d/s) of the drain.",22-Jun-10,8:45:00,620,9.6,8,9,11,Between 1 and 7 days ago,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.034878627 N,-37.7229856357 E,5823102,326812
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",11-Apr-11,11:50:00,180,7.1,20,18.5,47,Between 1 and 7 days ago,Creek,"bottles,paper,plastic",Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",09-May-11,10:45:00,160,8,12,13.5,19,Last 24 hrs,Creek,"bottles,plastic,polystyrene",Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",10-Dec-10,14:45:00,200,7.2,24,21.5,21,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",08-Nov-10,15:15:00,240,8.1,28,20,9,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-Aug-10,14:30:00,180,7.8,10.5,11,32,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",09-Jun-10,0:00:00,150,7.8,13,11,30,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
ME_YDA421,"Darebin Creek, Lillimer Drain outlet, Heidelberg West.",06-May-10,13:50:00,180,7.3,14,15.5,30,Last 24 hrs,Creek,,Melbourne,Yarra River,Yarra River,Darebin Creek,145.040524678 N,-37.7300278886 E,5822331,327326
